,,,,,,,,,,% of FGA by Distance,,,,,,FG% by Distance,,,,,,% of FG Ast'd,,Dunks,,Corner 3s,,Heaves,,
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1,LeBron James,33,CLE,PF,82,82,3026,0.542,10.9,0.743,0.423,0.114,0.089,0.118,0.257,0.603,0.766,0.378,0.421,0.371,0.367,0.301,0.356,0.08,120,0.084,0.382,1,0,"MVP-2,AS,NBA1"
2,Khris Middleton,26,MIL,SF,82,82,2982,0.466,15.1,0.68,0.14,0.133,0.218,0.189,0.32,0.517,0.629,0.444,0.545,0.452,0.359,0.427,0.842,0.023,27,0.199,0.432,1,0,
3,Andrew Wiggins,22,MIN,SF,82,82,2979,0.438,13.1,0.74,0.229,0.179,0.137,0.195,0.26,0.475,0.695,0.459,0.348,0.32,0.331,0.47,0.848,0.047,58,0.18,0.426,0,0,
4,Bradley Beal,24,WAS,SG,82,82,2977,0.46,15.2,0.643,0.206,0.104,0.146,0.187,0.357,0.507,0.682,0.394,0.463,0.414,0.375,0.355,0.784,0.034,42,0.098,0.404,3,0,AS
5,Jrue Holiday,27,NOP,SG,81,81,2927,0.494,11.6,0.714,0.298,0.219,0.11,0.085,0.286,0.557,0.671,0.487,0.438,0.5,0.337,0.345,0.708,0.03,31,0.163,0.293,2,0,"DPOY-7,DEF1"
6,CJ McCollum,26,POR,SG,81,81,2923,0.443,14.4,0.684,0.183,0.153,0.169,0.179,0.316,0.465,0.547,0.4,0.469,0.431,0.397,0.218,0.624,0.007,11,0.124,0.356,0,0,
7,Karl-Anthony Towns,22,MIN,C,82,82,2918,0.545,10.3,0.757,0.341,0.246,0.089,0.08,0.243,0.585,0.723,0.476,0.442,0.5,0.421,0.642,0.975,0.096,96,0.161,0.565,1,0,"AS,NBA3"
8,Russell Westbrook,29,OKC,PG,80,80,2914,0.449,11.3,0.807,0.375,0.072,0.151,0.209,0.193,0.485,0.611,0.306,0.382,0.394,0.298,0.17,0.433,0.043,57,0.055,0.333,1,0,"MVP-5,AS,NBA2"
9,Paul George,27,OKC,SF,79,79,2891,0.43,16.1,0.546,0.196,0.091,0.113,0.146,0.454,0.454,0.669,0.32,0.358,0.323,0.401,0.358,0.803,0.032,38,0.195,0.437,4,0,"DPOY-4,AS,NBA3"
10,Giannis Antetokounmpo,23,MIL,PF,75,75,2756,0.529,8.4,0.9,0.454,0.173,0.114,0.16,0.1,0.554,0.756,0.355,0.35,0.339,0.307,0.429,0.907,0.122,161,0.107,0.333,1,0,"MVP-6,AS,NBA2"
11,Kemba Walker,27,CHO,PG,80,80,2736,0.431,16,0.559,0.227,0.086,0.095,0.151,0.441,0.469,0.573,0.316,0.408,0.437,0.384,0.151,0.481,0.001,0,0.048,0.379,7,0,AS
12,Ben Simmons,21,PHI,PG,81,81,2732,0.545,5.5,0.989,0.462,0.325,0.174,0.028,0.011,0.551,0.744,0.417,0.316,0.393,0,0.344,,0.161,148,0,,8,0,ROY-1
13,Anthony Davis,24,NOP,PF,75,75,2727,0.534,9.2,0.889,0.374,0.201,0.157,0.157,0.111,0.558,0.744,0.483,0.428,0.339,0.34,0.701,0.909,0.154,211,0.093,0.4,3,0,"MVP-3,DPOY-3,AS,NBA1,DEF1"
14,Taj Gibson,32,MIN,PF,82,82,2726,0.577,6.5,0.953,0.482,0.236,0.117,0.118,0.047,0.595,0.752,0.466,0.442,0.368,0.2,0.711,1,0.125,89,0.771,0.222,1,0,
15,DeMar DeRozan,28,TOR,SG,80,80,2711,0.456,12.9,0.797,0.199,0.168,0.243,0.186,0.203,0.494,0.676,0.456,0.442,0.403,0.31,0.263,0.674,0.021,28,0.289,0.301,4,0,"MVP-8,AS,NBA2"
16,Josh Richardson,24,MIA,SF,81,81,2689,0.451,14.9,0.62,0.198,0.141,0.119,0.163,0.38,0.495,0.611,0.464,0.457,0.41,0.378,0.397,0.953,0.025,20,0.25,0.345,1,0,
17,Will Barton,27,DEN,SG,81,40,2683,0.452,13.3,0.589,0.284,0.201,0.057,0.047,0.411,0.51,0.661,0.377,0.407,0.292,0.37,0.392,0.731,0.04,38,0.09,0.421,3,0,6MOY-4
18,Damian Lillard,27,POR,PG,73,73,2670,0.439,15.6,0.555,0.271,0.088,0.079,0.117,0.445,0.501,0.552,0.452,0.429,0.473,0.361,0.18,0.436,0.009,11,0.04,0.4,0,0,"MVP-4,AS,NBA1"
19,Tobias Harris,25,2TM,PF,80,80,2668,0.46,13.8,0.636,0.212,0.183,0.156,0.084,0.364,0.488,0.645,0.402,0.455,0.343,0.411,0.459,0.869,0.048,53,0.227,0.446,1,0,
19,Tobias Harris,25,DET,PF,48,48,1563,0.451,14.4,0.611,0.192,0.182,0.165,0.072,0.389,0.478,0.625,0.426,0.436,0.314,0.409,0.488,0.858,0.049,32,0.217,0.417,1,0,
19,Tobias Harris,25,LAC,PF,32,32,1105,0.473,13.1,0.67,0.24,0.186,0.145,0.1,0.33,0.501,0.667,0.368,0.486,0.373,0.414,0.424,0.886,0.047,21,0.243,0.488,0,0,
20,Donovan Mitchell,21,UTA,SG,79,71,2638,0.437,14.4,0.596,0.26,0.147,0.096,0.094,0.404,0.502,0.638,0.38,0.374,0.445,0.34,0.248,0.658,0.036,42,0.109,0.5,2,0,ROY-2
21,Harrison Barnes,25,DAL,PF,77,77,2634,0.445,13.2,0.724,0.21,0.205,0.136,0.172,0.276,0.478,0.63,0.44,0.354,0.438,0.357,0.366,0.832,0.031,34,0.255,0.412,3,0,
22,Andre Drummond,24,DET,C,78,78,2625,0.529,3.2,0.988,0.659,0.271,0.056,0.002,0.012,0.536,0.649,0.314,0.286,0,0,0.545,,0.188,144,0,,4,0,"DPOY-15,AS"
23,Thaddeus Young,29,IND,PF,81,81,2607,0.487,9.2,0.791,0.387,0.256,0.073,0.076,0.209,0.531,0.626,0.466,0.349,0.439,0.32,0.565,0.948,0.052,40,0.331,0.317,2,0,
24,Lou Williams,31,LAC,SG,79,19,2589,0.435,14.7,0.613,0.222,0.146,0.12,0.123,0.387,0.484,0.603,0.379,0.472,0.406,0.359,0.242,0.651,0.01,13,0.195,0.277,4,1,6MOY-1
25,E'Twaun Moore,28,NOP,SG,82,80,2586,0.508,13.1,0.638,0.225,0.234,0.093,0.087,0.362,0.556,0.642,0.574,0.429,0.417,0.425,0.641,0.984,0.013,11,0.405,0.5,0,0,
26,Joe Ingles,30,UTA,SF,82,81,2578,0.467,18,0.354,0.164,0.103,0.04,0.046,0.646,0.516,0.678,0.392,0.379,0.333,0.44,0.359,0.848,0.008,6,0.295,0.526,1,0,
27,Jamal Murray,20,DEN,PG,81,80,2565,0.451,15.1,0.589,0.194,0.158,0.116,0.121,0.411,0.502,0.621,0.452,0.48,0.395,0.378,0.398,0.77,0.03,27,0.126,0.455,5,0,
28,Victor Oladipo,25,IND,SG,75,75,2552,0.477,14.5,0.677,0.267,0.082,0.095,0.231,0.323,0.528,0.69,0.364,0.438,0.439,0.371,0.28,0.553,0.052,61,0.099,0.581,2,0,"MVP-13,DPOY-15,MIP-1,AS,NBA3,DEF1"
29,James Harden,28,HOU,SG,72,72,2551,0.449,15.3,0.502,0.273,0.118,0.071,0.039,0.498,0.531,0.658,0.351,0.437,0.368,0.367,0.088,0.26,0.013,19,0.072,0.327,2,0,"MVP-1,AS,NBA1"
30,Robert Covington,27,PHI,SF,80,80,2532,0.413,18.9,0.342,0.178,0.069,0.031,0.063,0.658,0.497,0.664,0.379,0.192,0.302,0.369,0.81,0.97,0.037,27,0.113,0.387,4,0,"DPOY-8,DEF1"
31,Kyle Lowry,31,TOR,PG,78,78,2510,0.427,18.5,0.369,0.175,0.085,0.055,0.054,0.631,0.474,0.655,0.275,0.327,0.353,0.399,0.267,0.643,0,0,0.102,0.475,1,0,AS
32,LaMarcus Aldridge,32,SAS,C,75,75,2509,0.51,9.8,0.932,0.275,0.212,0.256,0.189,0.068,0.526,0.735,0.446,0.438,0.431,0.293,0.502,0.963,0.036,46,0.163,0.467,1,0,"MVP-9,AS,NBA2"
33,Klay Thompson,27,GSW,SG,73,73,2506,0.488,17.9,0.558,0.121,0.054,0.14,0.244,0.442,0.526,0.678,0.359,0.485,0.507,0.44,0.743,0.952,0.009,11,0.175,0.473,2,0,"DPOY-11,AS"
34,Carmelo Anthony,33,OKC,PF,78,78,2501,0.404,17.1,0.594,0.12,0.063,0.184,0.228,0.406,0.437,0.571,0.329,0.456,0.38,0.357,0.376,0.876,0.02,17,0.116,0.327,0,0,
35,Steven Adams,24,OKC,C,76,76,2487,0.629,2.6,0.997,0.708,0.233,0.052,0.004,0.003,0.631,0.688,0.494,0.514,0,0,0.69,,0.242,150,0,,2,0,DPOY-12
36,Taurean Prince,23,ATL,SF,82,82,2464,0.426,14.9,0.531,0.234,0.139,0.095,0.063,0.469,0.461,0.61,0.39,0.355,0.23,0.385,0.381,0.898,0.024,21,0.223,0.48,0,0,
37,Bojan Bogdanović,28,IND,SF,80,80,2464,0.474,14.7,0.547,0.262,0.123,0.096,0.066,0.453,0.534,0.632,0.448,0.463,0.411,0.402,0.53,0.942,0.016,13,0.272,0.457,0,0,
38,Dwight Howard,32,CHO,C,81,81,2463,0.555,4.7,0.992,0.568,0.28,0.053,0.092,0.008,0.559,0.7,0.392,0.313,0.333,0.143,0.57,1,0.21,174,0,,2,0,
39,Kentavious Caldwell-Pope,24,LAL,SG,74,74,2458,0.426,17.2,0.48,0.197,0.065,0.061,0.157,0.52,0.473,0.662,0.327,0.327,0.352,0.383,0.613,0.874,0.026,20,0.154,0.406,1,0,
40,Jayson Tatum,19,BOS,SF,80,80,2443,0.475,12.7,0.71,0.32,0.107,0.096,0.188,0.29,0.492,0.629,0.258,0.438,0.42,0.434,0.565,0.924,0.071,51,0.227,0.564,0,0,ROY-3
41,Nikola Jokić,22,DEN,C,75,73,2443,0.499,11.9,0.723,0.225,0.287,0.113,0.096,0.277,0.538,0.674,0.5,0.456,0.443,0.396,0.542,0.892,0.009,8,0.075,0.571,3,0,
42,Otto Porter Jr.,24,WAS,SF,77,77,2432,0.503,15.4,0.646,0.177,0.124,0.145,0.2,0.354,0.537,0.707,0.445,0.422,0.525,0.441,0.632,0.913,0.021,19,0.182,0.456,1,0,
43,DeAndre Jordan,29,LAC,C,77,77,2424,0.645,1.3,1,0.843,0.145,0.005,0.002,0,0.645,0.702,0.357,0.333,0,,0.665,,0.401,212,,,0,0,
44,Marc Gasol,33,MEM,C,73,73,2408,0.42,14.3,0.69,0.159,0.207,0.185,0.139,0.31,0.456,0.665,0.346,0.366,0.5,0.341,0.662,0.972,0.035,34,0.022,0.429,3,0,
45,Kyle Kuzma,22,LAL,PF,77,37,2401,0.45,14.1,0.582,0.257,0.176,0.074,0.073,0.418,0.511,0.64,0.443,0.364,0.382,0.366,0.531,0.881,0.035,29,0.18,0.372,1,0,"ROY-4,6MOY-9"
46,Goran Dragić,31,MIA,PG,75,75,2378,0.45,12.3,0.721,0.269,0.171,0.175,0.106,0.279,0.481,0.63,0.38,0.436,0.342,0.37,0.273,0.784,0,0,0.18,0.37,2,0,AS
47,Dillon Brooks,22,MEM,SF,82,74,2350,0.44,13.7,0.658,0.275,0.142,0.118,0.123,0.342,0.484,0.651,0.445,0.341,0.295,0.356,0.533,0.904,0.021,14,0.182,0.333,7,0,
48,Wilson Chandler,30,DEN,SF,74,71,2346,0.445,12.8,0.61,0.279,0.209,0.063,0.06,0.39,0.501,0.665,0.394,0.25,0.368,0.358,0.487,0.943,0.033,21,0.24,0.305,0,0,
49,Kevin Durant,29,GSW,SF,68,68,2325,0.516,15.4,0.662,0.179,0.096,0.201,0.185,0.338,0.565,0.758,0.513,0.492,0.487,0.419,0.488,0.688,0.084,94,0.094,0.564,3,0,"MVP-7,DPOY-9,AS,NBA1"
50,Eric Bledsoe,28,2TM,PG,74,74,2322,0.473,12.8,0.636,0.295,0.122,0.098,0.122,0.364,0.545,0.702,0.372,0.474,0.388,0.347,0.28,0.744,0.019,18,0.167,0.4,1,0,
50,Eric Bledsoe,28,PHO,PG,3,3,83,0.4,11.9,0.675,0.35,0.125,0.1,0.1,0.325,0.444,0.643,0.2,0.25,0.25,0.308,0,0,0,0,0.154,0,0,0,
50,Eric Bledsoe,28,MIL,PG,71,71,2239,0.476,13.8,0.634,0.293,0.122,0.098,0.123,0.366,0.55,0.705,0.379,0.484,0.393,0.349,0.29,0.769,0.02,18,0.167,0.414,1,0,
51,Jeff Teague,29,MIN,PG,70,70,2311,0.446,12.3,0.713,0.209,0.272,0.157,0.073,0.287,0.477,0.651,0.394,0.44,0.379,0.368,0.104,0.56,0.013,9,0.096,0.409,0,0,
52,Dario Šarić,23,PHI,PF,78,73,2310,0.453,15,0.552,0.252,0.142,0.046,0.111,0.448,0.501,0.661,0.405,0.317,0.343,0.393,0.663,1,0.02,18,0.1,0.375,0,0,
53,Courtney Lee,32,NYK,SG,76,69,2310,0.454,15.8,0.632,0.166,0.099,0.151,0.216,0.368,0.482,0.648,0.44,0.491,0.368,0.406,0.491,0.796,0.007,4,0.299,0.47,0,0,
54,Spencer Dinwiddie,24,BRK,PG,80,58,2306,0.387,16.1,0.483,0.233,0.122,0.084,0.045,0.517,0.452,0.574,0.324,0.371,0.316,0.326,0.142,0.596,0.017,12,0.081,0.371,1,0,
55,Gary Harris,23,DEN,SG,67,65,2304,0.485,14.8,0.566,0.25,0.119,0.097,0.1,0.434,0.553,0.718,0.417,0.466,0.385,0.396,0.577,0.891,0.052,46,0.208,0.415,1,0,
56,Draymond Green,27,GSW,PF,70,70,2287,0.454,13.4,0.586,0.355,0.111,0.076,0.044,0.414,0.562,0.695,0.391,0.362,0.259,0.301,0.716,0.909,0.073,39,0.066,0.118,3,0,"DPOY-6,AS,DEF2"
57,Yogi Ferrell,24,DAL,SG,82,21,2282,0.426,17.4,0.508,0.151,0.084,0.097,0.178,0.492,0.477,0.582,0.295,0.493,0.462,0.373,0.401,0.746,0,0,0.162,0.5,1,0,
58,P.J. Tucker,32,HOU,PF,82,34,2281,0.39,18.4,0.297,0.15,0.077,0.011,0.059,0.703,0.435,0.561,0.324,0.2,0.308,0.371,0.579,0.983,0.005,2,0.655,0.399,0,0,
59,Al Horford,31,BOS,C,72,72,2277,0.489,12.8,0.7,0.198,0.255,0.143,0.104,0.3,0.514,0.738,0.438,0.38,0.462,0.429,0.572,0.948,0.062,45,0.159,0.528,0,0,"DPOY-5,AS,DEF2"
60,Trevor Ariza,32,HOU,SF,67,67,2269,0.412,18,0.29,0.22,0.052,0.008,0.011,0.71,0.519,0.636,0.176,0,0.143,0.368,0.592,0.953,0.029,19,0.392,0.431,2,0,
61,Justin Holiday,28,CHI,SG,72,72,2265,0.371,18.4,0.426,0.13,0.068,0.075,0.151,0.574,0.387,0.539,0.283,0.305,0.347,0.359,0.705,0.957,0.024,19,0.301,0.356,4,0,
62,Ricky Rubio,27,UTA,PG,77,77,2254,0.418,15.4,0.67,0.172,0.093,0.158,0.247,0.33,0.451,0.535,0.299,0.443,0.456,0.352,0.288,0.865,0,0,0.271,0.351,0,0,
63,J.R. Smith,32,CLE,SG,80,61,2244,0.403,19.7,0.36,0.089,0.072,0.071,0.128,0.64,0.453,0.566,0.395,0.429,0.421,0.375,0.32,0.916,0.017,9,0.315,0.5,0,0,
64,Kelly Oubre Jr.,22,WAS,SF,81,11,2231,0.403,14.9,0.533,0.242,0.148,0.063,0.08,0.467,0.456,0.644,0.333,0.26,0.27,0.341,0.531,0.921,0.067,46,0.271,0.29,1,0,
65,Cory Joseph,26,IND,PG,82,17,2210,0.424,15.4,0.685,0.171,0.106,0.152,0.255,0.315,0.457,0.602,0.422,0.435,0.39,0.353,0.27,0.91,0,0,0.242,0.37,2,0,
66,Allen Crabbe,25,BRK,SG,75,68,2197,0.407,20,0.357,0.083,0.096,0.065,0.112,0.643,0.461,0.739,0.456,0.37,0.312,0.378,0.743,0.94,0.007,5,0.137,0.384,4,0,
67,Julius Randle,23,LAL,C,82,49,2190,0.558,4.9,0.95,0.545,0.315,0.041,0.048,0.05,0.575,0.728,0.389,0.351,0.256,0.222,0.534,1,0.116,99,0.111,0.4,2,0,
68,DeMarre Carroll,31,BRK,PF,73,73,2180,0.414,15.1,0.502,0.21,0.175,0.066,0.051,0.498,0.457,0.606,0.365,0.346,0.3,0.371,0.461,0.931,0.015,10,0.251,0.408,0,0,
69,Bogdan Bogdanović,25,SAC,SG,78,52,2175,0.446,16.7,0.574,0.144,0.128,0.127,0.175,0.426,0.485,0.613,0.394,0.5,0.437,0.392,0.358,0.76,0.004,3,0.122,0.475,7,0,
70,Jimmy Butler,28,MIN,SG,59,59,2164,0.474,12.1,0.783,0.251,0.168,0.208,0.155,0.217,0.509,0.662,0.49,0.432,0.385,0.35,0.332,0.757,0.047,41,0.205,0.439,2,0,"MVP-10,DPOY-12,AS,NBA3,DEF2"
71,Eric Gordon,29,HOU,SG,69,30,2154,0.428,17.7,0.373,0.234,0.089,0.027,0.022,0.627,0.544,0.661,0.384,0.269,0.333,0.359,0.386,0.849,0.012,11,0.122,0.459,5,1,6MOY-2
72,Derrick Favors,26,UTA,C,77,77,2153,0.563,7.4,0.91,0.48,0.179,0.12,0.131,0.09,0.596,0.769,0.413,0.405,0.391,0.222,0.785,1,0.226,150,0.873,0.236,1,0,
73,Jaylen Brown,21,BOS,SG,70,70,2152,0.465,12.4,0.619,0.356,0.136,0.055,0.071,0.381,0.507,0.622,0.321,0.409,0.368,0.395,0.536,0.967,0.077,54,0.376,0.426,2,0,DPOY-10
74,T.J. Warren,24,PHO,SF,65,65,2142,0.498,8.8,0.915,0.378,0.182,0.188,0.167,0.085,0.523,0.682,0.415,0.425,0.393,0.222,0.617,1,0.041,44,0.411,0.216,0,0,
75,Wesley Matthews,31,DAL,SF,63,63,2131,0.406,18.4,0.423,0.096,0.118,0.106,0.103,0.577,0.441,0.507,0.439,0.459,0.361,0.381,0.392,0.882,0,0,0.209,0.464,1,0,
76,JJ Redick,33,PHI,SG,70,70,2116,0.46,20.1,0.477,0.075,0.043,0.063,0.297,0.523,0.504,0.606,0.421,0.491,0.49,0.42,0.768,0.902,0,0,0.133,0.492,1,0,
77,Patty Mills,29,SAS,PG,82,36,2107,0.411,19.9,0.393,0.111,0.043,0.023,0.216,0.607,0.47,0.579,0.379,0.438,0.435,0.372,0.476,0.76,0,0,0.147,0.459,2,0,
78,Denzel Valentine,24,CHI,SG,77,37,2095,0.417,17.6,0.487,0.117,0.121,0.125,0.125,0.513,0.45,0.607,0.414,0.411,0.378,0.386,0.487,0.79,0.004,2,0.219,0.37,2,0,
79,Serge Ibaka,28,TOR,PF,76,76,2093,0.483,15.1,0.621,0.162,0.154,0.154,0.151,0.379,0.559,0.724,0.479,0.521,0.5,0.36,0.699,0.953,0.06,45,0.152,0.444,0,0,
80,Jae Crowder,27,2TM,SF,80,47,2090,0.404,16.1,0.492,0.255,0.069,0.043,0.125,0.508,0.488,0.661,0.283,0.345,0.298,0.323,0.807,0.927,0.007,3,0.261,0.382,0,0,
80,Jae Crowder,27,CLE,SF,53,47,1346,0.418,15.9,0.497,0.279,0.064,0.024,0.13,0.503,0.508,0.676,0.25,0.222,0.327,0.328,0.832,0.952,0.003,0,0.254,0.396,0,0,
80,Jae Crowder,27,UTA,SF,27,0,744,0.386,16.4,0.485,0.224,0.075,0.068,0.119,0.515,0.462,0.636,0.318,0.4,0.257,0.316,0.773,0.896,0.014,3,0.27,0.366,0,0,
81,Jusuf Nurkić,23,POR,C,79,79,2088,0.505,5.9,0.993,0.466,0.304,0.091,0.131,0.007,0.508,0.643,0.391,0.402,0.376,0,0.694,,0.068,61,0,,1,0,DPOY-15
82,Dennis Schröder,24,ATL,PG,67,67,2078,0.436,12.4,0.771,0.29,0.126,0.161,0.194,0.229,0.48,0.578,0.333,0.432,0.468,0.29,0.193,0.566,0.002,0,0.053,0.214,6,0,
83,Marcin Gortat,33,WAS,C,82,82,2075,0.518,5.5,1,0.411,0.352,0.216,0.021,0,0.518,0.652,0.437,0.421,0.25,,0.755,,0.066,28,,,0,0,
84,Al-Farouq Aminu,27,POR,PF,69,67,2072,0.395,16.5,0.418,0.215,0.12,0.026,0.057,0.582,0.432,0.608,0.314,0.133,0.152,0.369,0.486,0.96,0.041,23,0.28,0.474,0,0,
85,Dragan Bender,20,PHO,PF,82,37,2069,0.386,17.8,0.335,0.18,0.099,0.025,0.031,0.665,0.426,0.575,0.313,0.167,0.133,0.366,0.507,0.992,0.021,9,0.255,0.378,0,0,
86,Terry Rozier,23,BOS,PG,80,16,2068,0.395,16.8,0.498,0.18,0.121,0.085,0.111,0.503,0.41,0.535,0.309,0.368,0.348,0.381,0.264,0.706,0.014,10,0.157,0.365,3,0,6MOY-10
87,Austin Rivers,25,LAC,SG,61,59,2057,0.424,13.7,0.553,0.288,0.176,0.065,0.024,0.447,0.461,0.569,0.345,0.346,0.316,0.378,0.215,0.515,0.004,3,0.153,0.345,0,0,
